THRESHOLD,VOL_SCALE_WEIGHTS,SECTOR_CAP_PCT,MAX_POSITIONS,REBALANCE_EVERY,TRAIN_WINDOW_DAYS,COST_BPS,EXCLUDE_TICKERS,days,sharpe,mean_daily_ret_%,vol_daily_%,max_drawdown_%,avg_turnover_%,avg_n_longs,avg_hit_rate_%,overall_ret_%
0.6,True,0.25,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2866297180244795,0.01099629130630885,0.6092459466875793,-18.03402022464012,8.101176221225757,1.3335901386748845,53.76450661008734,12.593614916286855
0.6,True,0.35,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2866297180244795,0.01099629130630885,0.6092459466875793,-18.03402022464012,8.101176221225757,1.3335901386748845,53.76450661008734,12.593614916286855
0.6,True,1.0,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2866297180244795,0.01099629130630885,0.6092459466875793,-18.03402022464012,8.101176221225757,1.3335901386748845,53.76450661008734,12.593614916286855
0.6,False,0.25,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.28450462859233233,0.012516993105657704,0.6986799899023372,-19.672779849003522,7.455196679103521,1.3335901386748845,53.76450661008734,13.99105009904833
0.6,False,0.35,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.28450462859233233,0.012516993105657704,0.6986799899023372,-19.672779849003522,7.455196679103521,1.3335901386748845,53.76450661008734,13.99105009904833
0.6,False,1.0,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.28450462859233233,0.012516993105657704,0.6986799899023372,-19.672779849003522,7.455196679103521,1.3335901386748845,53.76450661008734,13.99105009904833
0.6,False,0.35,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2685528414506007,0.012220161869934729,0.722628083279757,-13.199403770595234,6.753982288431572,0.8682588597842835,53.091125055945795,13.309303729324661
0.6,True,0.25,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.26222974909496577,0.01017483823498575,0.6161879235365978,-13.64312713663208,7.639581798028273,0.8466872110939908,53.12742549459818,11.336878320447742
0.6,False,1.0,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.26188850344233394,0.011970643064811196,0.7258864274555483,-13.181814617230797,6.761447267232542,0.8721109399075501,53.07592722053922,12.910452052803523
0.6,False,0.25,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2516221118095813,0.011390525657817393,0.7188902479674014,-14.246514999077467,6.85350421052406,0.8466872110939908,53.12742549459818,12.131299971323607
0.6,True,0.25,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.23431121395713264,0.008843737166466277,0.5993912261241544,-13.89351143201148,7.879878084398036,1.1664098613251155,53.2302850326558,9.571291878226006
