date,value,series
2015-06-04,14.71,VIX
2015-06-04,0.66,US2Y
2015-06-05,14.21,VIX
2015-06-05,2.41,US10Y
2015-06-05,0.73,US2Y
2015-06-08,15.29,VIX
2015-06-08,2.39,US10Y
2015-06-08,0.7,US2Y
2015-06-09,2.42,US10Y
2015-06-09,0.72,US2Y
2015-06-09,14.47,VIX
2015-06-10,0.75,US2Y
2015-06-10,13.22,VIX
2015-06-10,2.5,US10Y
2015-06-11,0.73,US2Y
2015-06-11,12.85,VIX
2015-06-11,2.39,US10Y
2015-06-12,0.74,US2Y
2015-06-12,2.39,US10Y
2015-06-12,13.78,VIX
2015-06-15,2.36,US10Y
2015-06-15,15.39,VIX
2015-06-15,0.72,US2Y
2015-06-16,2.32,US10Y
2015-06-16,14.81,VIX
2015-06-16,0.71,US2Y
2015-06-17,2.32,US10Y
2015-06-17,14.5,VIX
2015-06-17,0.67,US2Y
2015-06-18,2.35,US10Y
2015-06-18,13.19,VIX
2015-06-18,0.66,US2Y
2015-06-19,2.26,US10Y
2015-06-19,0.65,US2Y
2015-06-19,13.96,VIX
2015-06-22,0.68,US2Y
2015-06-22,12.74,VIX
2015-06-22,2.37,US10Y
2015-06-23,0.7,US2Y
2015-06-23,12.11,VIX
2015-06-23,2.42,US10Y
2015-06-24,13.26,VIX
2015-06-24,2.38,US10Y
2015-06-24,0.68,US2Y
2015-06-25,2.4,US10Y
2015-06-25,0.68,US2Y
2015-06-25,14.01,VIX
2015-06-26,2.49,US10Y
2015-06-26,0.72,US2Y
2015-06-26,14.02,VIX
2015-06-29,2.33,US10Y
2015-06-29,18.85,VIX
2015-06-29,0.64,US2Y
2015-06-30,18.23,VIX
2015-06-30,0.64,US2Y
2015-06-30,2.35,US10Y
2015-07-01,16.09,VIX
2015-07-01,0.69,US2Y
2015-07-01,2.43,US10Y
2015-07-02,16.79,VIX
2015-07-02,0.64,US2Y
2015-07-02,2.4,US10Y
2015-07-03,,VIX
2015-07-03,,US2Y
2015-07-03,,US10Y
2015-07-06,17.01,VIX
2015-07-06,2.3,US10Y
2015-07-06,0.6,US2Y
2015-07-07,2.27,US10Y
2015-07-07,0.58,US2Y
2015-07-07,16.09,VIX
2015-07-08,2.22,US10Y
2015-07-08,0.55,US2Y
2015-07-08,19.66,VIX
2015-07-09,0.6,US2Y
2015-07-09,19.97,VIX
2015-07-09,2.32,US10Y
2015-07-10,16.83,VIX
2015-07-10,2.42,US10Y
2015-07-10,0.65,US2Y
